epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,300,0.010000,0.006778,0,166.930,0,1463,473,5,985,11,655,319,0.6725,11997.760,6179.068,0.5150,5892.487,38.331,248.250,0,0.000,0.00000,0.0205,7,405,405,1,0,0,1,1,0,0.4865,14,12,2,20.177,0.2696,-0.2180,-0.1241,0.000000,0.6428,22,20,0.9091,2400,581,1.1498,2.2099,0.6308,1.1476,0,0
2,300,0.006778,0.007228,1,165.376,0,1469,438,0,1031,12,715,304,0.7017,12710.609,10440.868,0.8214,9903.121,32.247,257.250,0,0.000,0.00000,0.0157,9,386,791,1,0,0,1,1,0,0.4588,20,0,0,20.176,0.2722,-0.2077,-0.1241,0.000000,0.6497,23,19,0.8261,2400,595,1.1498,2.2099,0.6308,1.1427,1,0
3,300,0.007228,0.008169,2,162.425,0,1420,362,10,1048,14,723,311,0.6992,11754.809,12963.683,1.1028,12328.421,20.868,258.450,1,0.000,0.00000,0.0184,5,360,1151,1,0,0,1,1,0,0.4893,85,0,0,20.200,0.2746,-0.1703,-0.1241,0.000000,0.6565,41,34,0.8293,2400,562,1.1498,2.2099,0.6308,1.1725,1,0
4,299,0.008169,0.008663,3,157.420,0,1492,391,12,1089,11,753,325,0.6985,12136.056,15686.889,1.2926,14858.894,14.469,262.550,1,0.000,0.00000,0.0167,4,365,1516,1,0,1,1,1,0,0.5026,36,2,1,20.289,0.2782,-0.1574,-0.1241,0.000000,0.6613,23,21,0.9130,2392,585,1.1498,2.2099,0.6308,1.2158,1,0
5,298,0.008663,0.009379,4,150.110,1,1482,377,20,1085,17,751,317,0.7032,11913.439,17807.700,1.4948,16726.755,5.569,261.850,0,0.000,0.00000,0.0253,9,350,1866,1,0,1,1,1,0,0.4963,58,0,0,20.329,0.2849,-0.1654,-0.1241,0.000000,0.6624,22,20,0.9091,2384,600,1.1491,2.2099,0.6308,1.2447,1,0
6,298,0.009379,0.009831,5,142.800,2,1494,361,12,1121,7,820,294,0.7361,13162.451,19872.106,1.5098,18525.317,0.000,272.200,0,0.000,0.00000,0.0224,7,350,2216,1,0,1,1,1,0,0.4863,92,0,0,20.396,0.2923,-0.1322,0.1995,0.323614,0.5791,20,17,0.8500,2384,622,1.1480,2.2099,0.6308,1.2903,1,0
7,298,0.009831,0.010213,6,144.929,2,1534,345,3,1186,9,761,416,0.6466,11594.913,21258.498,1.8334,19797.677,0.000,263.350,1,0.000,0.00000,0.0263,6,343,2559,1,0,1,1,1,0,0.4409,57,0,0,20.476,0.3045,-0.1081,0.1995,0.323614,0.5838,22,19,0.8636,2384,616,1.1480,2.2099,0.6308,1.3305,1,0
8,297,0.010213,0.010215,7,144.445,4,1514,315,21,1178,17,767,394,0.6606,11689.095,23027.030,1.9700,21011.199,0.000,263.850,0,0.000,0.00000,0.0129,5,266,2825,1,0,1,1,1,0,0.4663,89,2,0,20.390,0.2982,-0.0727,0.1995,0.323614,0.5866,14,13,0.9286,2376,613,1.1480,2.2302,0.6308,1.2941,1,0
9,296,0.010215,0.010311,8,142.753,7,1590,345,15,1230,12,780,438,0.6404,11895.338,24248.549,2.0385,21968.883,0.000,265.400,0,0.000,0.00000,0.0131,3,323,3148,1,0,1,1,1,0,0.4749,72,15,0,20.202,0.2894,-0.0425,0.1995,0.323614,0.5792,23,20,0.8696,2368,634,1.1476,2.2221,0.6308,1.2500,1,0
10,296,0.010311,0.011060,9,143.529,9,1556,283,2,1271,10,809,452,0.6416,11412.456,25439.968,2.2291,22899.474,0.000,269.750,0,0.000,0.00000,0.0254,8,307,3455,1,0,1,1,1,0,0.4422,112,0,0,20.153,0.2878,-0.0183,0.1995,0.323614,0.5810,32,29,0.9062,2368,627,1.1481,2.2076,0.6308,1.2484,1,0
