epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,300,0.010000,0.006848,0,166.930,0,1456,459,14,983,11,647,325,0.6656,11699.107,6023.422,0.5149,5739.821,36.551,247.050,0,0.000,0.00000,0.0206,7,483,481,1,0,0,1,1,0,0.2878,18,17,2,20.177,0.2696,-0.2349,-0.1241,0.000000,0.6478,22,20,0.9091,2400,574,1.1498,2.2099,0.6308,1.1476,0,0
2,300,0.006848,0.007301,1,165.480,0,1460,431,2,1027,12,702,313,0.6916,12302.692,10081.931,0.8195,9548.940,30.641,255.300,0,0.000,0.00000,0.0158,9,511,994,1,0,0,1,1,0,0.2870,18,0,0,20.176,0.2722,-0.3017,-0.1241,0.000000,0.6455,23,19,0.8261,2400,586,1.1498,2.2099,0.6308,1.1427,1,0
3,300,0.007301,0.008139,2,163.028,0,1437,371,3,1063,14,721,328,0.6873,11686.642,13053.288,1.1169,12417.478,20.483,258.150,1,0.000,0.00000,0.0181,5,456,1450,1,0,0,1,1,0,0.2932,78,11,2,20.202,0.2754,-0.2716,-0.1241,0.000000,0.6559,42,35,0.8333,2400,579,1.1498,2.2099,0.6308,1.1729,1,0
4,299,0.008139,0.008766,3,157.582,0,1458,379,8,1071,11,734,326,0.6925,11649.426,15962.868,1.3703,14973.469,12.777,259.700,0,0.000,0.00000,0.0170,4,442,1892,1,0,1,1,1,0,0.2908,72,0,0,20.295,0.2795,-0.2562,-0.1241,0.000000,0.6597,23,21,0.9130,2392,551,1.1498,2.2099,0.6308,1.2172,1,0
5,298,0.008766,0.009022,4,149.570,1,1462,409,29,1024,16,680,328,0.6746,11264.593,18209.661,1.6165,16972.292,9.547,251.200,0,0.000,0.00000,0.0268,9,414,2306,1,0,1,1,1,0,0.2990,40,5,1,20.312,0.2852,-0.2335,-0.1241,0.000000,0.6653,22,20,0.9091,2384,580,1.1498,2.1982,0.6308,1.2493,1,0
6,298,0.009022,0.009651,5,141.192,4,1448,393,7,1048,6,758,284,0.7274,12611.306,19909.950,1.5787,18417.974,1.254,262.900,0,0.000,0.00000,0.0202,6,421,2727,1,0,1,1,1,0,0.3045,60,0,0,20.284,0.2897,-0.2177,0.2083,0.332408,0.5786,19,16,0.8421,2384,576,1.1491,2.1982,0.6308,1.2670,1,0
7,298,0.009651,0.009838,6,142.502,4,1523,406,25,1092,8,690,394,0.6365,11201.725,21267.688,1.8986,19696.044,0.000,252.700,1,0.000,0.00000,0.0277,6,418,3145,1,0,1,1,1,0,0.3009,20,2,0,20.404,0.2990,-0.1872,0.2083,0.332408,0.5892,21,18,0.8571,2384,605,1.1491,2.1982,0.6308,1.3416,1,0
8,297,0.009838,0.009937,7,140.370,7,1480,391,10,1079,17,667,395,0.6281,10916.319,22624.684,2.0726,20722.441,0.000,248.850,0,0.000,0.00000,0.0132,5,363,3508,1,0,1,1,1,0,0.3067,43,0,0,20.349,0.2810,-0.1531,0.2083,0.332408,0.5867,13,12,0.9231,2376,579,1.1497,2.1685,0.6308,1.3767,1,0
9,296,0.009937,0.009890,8,140.025,10,1565,406,7,1152,11,709,432,0.6214,11600.368,23950.606,2.0646,21793.385,0.228,254.750,0,0.000,0.00000,0.0123,3,366,3874,1,0,1,1,1,0,0.2996,30,0,0,20.310,0.2792,-0.1164,0.2083,0.332408,0.5786,20,17,0.8500,2368,609,1.1496,2.1685,0.6308,1.3752,1,0
10,296,0.009890,0.011399,9,141.345,13,1537,315,3,1219,10,752,457,0.6220,10514.946,25476.247,2.4229,23074.146,0.000,261.200,0,0.000,0.00000,0.0240,8,338,4212,1,0,1,1,1,0,0.3135,117,8,0,20.203,0.2751,-0.1229,0.2083,0.332408,0.5855,32,29,0.9062,2368,608,1.1505,2.1685,0.6308,1.3282,1,0
11,296,0.011399,0.009967,10,143.028,15,1581,385,10,1186,15,736,435,0.6285,11615.999,26428.928,2.2752,23751.761,16.266,258.800,0,0.000,0.00000,0.0213,6,351,4563,1,0,1,1,1,0,0.2914,20,18,3,20.136,0.2736,-0.1197,0.2083,0.332408,0.5849,25,21,0.8400,2368,643,1.1505,2.1685,0.6308,1.3404,1,0
12,296,0.009967,0.010669,11,144.108,20,1518,320,3,1195,8,758,429,0.6386,11059.330,27625.797,2.4980,24694.629,8.167,262.100,0,0.000,0.00000,0.0211,5,328,4891,1,0,1,1,1,0,0.3128,124,23,3,20.096,0.2760,-0.1090,0.2083,0.332408,0.5766,28,26,0.9286,2368,634,1.1503,2.1685,0.6308,1.3563,1,0
13,296,0.010669,0.010570,12,144.954,23,1579,336,18,1225,11,770,444,0.6343,11252.938,28127.881,2.4996,24932.057,8.923,263.900,0,0.000,0.00000,0.0206,8,379,5270,1,1,1,1,1,1,0.3081,59,2,0,20.075,0.2817,-0.1024,0.2083,0.332408,0.5779,18,14,0.7778,2368,661,1.1500,2.1685,0.6308,1.3705,1,0
14,296,0.010570,0.010416,13,145.018,25,1549,340,4,1205,14,739,452,0.6205,10967.136,29241.765,2.6663,25785.427,10.187,259.250,0,0.000,0.00000,0.0285,8,314,5584,1,1,1,1,1,1,0.3061,74,2,0,20.034,0.2860,-0.1038,0.2083,0.332408,0.5726,23,22,0.9565,2368,637,1.1498,2.1685,0.6308,1.3403,1,0
15,296,0.010416,0.009455,14,146.340,27,1522,363,11,1148,9,719,420,0.6313,11624.626,30065.036,2.5863,26341.641,20.994,256.250,0,0.000,0.00000,0.0167,8,309,5893,1,1,1,1,1,1,0.3058,56,14,2,20.052,0.2930,-0.1007,0.2083,0.332408,0.5810,20,18,0.9000,2368,626,1.1497,2.1685,0.6308,1.3478,1,0
16,296,0.009455,0.010955,15,146.797,31,1515,318,1,1196,12,736,448,0.6216,10223.818,30506.663,2.9839,26710.364,5.255,258.800,1,0.000,0.00000,0.0228,10,323,6216,1,1,1,1,1,1,0.3048,108,3,0,19.891,0.2917,-0.0533,0.2083,0.332408,0.5810,14,13,0.9286,2368,618,1.1485,2.1685,0.6308,1.3019,1,0
