epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,240,0.010000,0.007492,0,131.770,0,1013,83,10,920,10,589,321,0.6473,11021.988,5037.337,0.4570,4795.634,27.353,214.350,0,0.000,0.00000,0.0198,5,425,425,1,0,0,1,1,0,0.2993,17,17,2,20.351,0.3016,-0.2631,-0.1241,0.000000,0.5960,20,18,0.9000,1920,131,1.1498,2.2099,0.6308,1.1476,0,0
2,240,0.007492,0.006941,1,138.994,0,994,51,3,940,10,620,310,0.6667,11526.610,7986.007,0.6928,7519.257,33.400,219.000,0,0.000,0.00000,0.0140,6,434,859,1,0,0,1,1,0,0.3092,25,25,0,20.350,0.3043,-0.2750,-0.1241,0.000000,0.6120,23,19,0.8261,1920,120,1.1498,2.2099,0.6308,1.1427,1,0
3,240,0.006941,0.006718,2,143.741,0,1000,0,10,990,14,634,342,0.6496,11515.688,10938.283,0.9499,10389.598,35.660,221.100,1,0.000,0.00000,0.0195,5,442,1301,1,0,0,1,1,0,0.3077,24,24,4,20.395,0.3082,-0.2608,-0.1241,0.000000,0.6144,37,31,0.8378,1920,142,1.1498,2.2099,0.6308,1.1768,1,0
4,239,0.006718,0.006947,3,145.085,1,1063,0,23,1040,11,660,369,0.6414,11445.526,13404.184,1.1711,12665.159,32.693,224.600,1,0.000,0.00000,0.0175,4,469,1770,1,0,1,1,1,0,0.3127,26,26,5,20.479,0.3123,-0.2602,-0.1241,0.000000,0.6194,21,19,0.9048,1912,156,1.1494,2.2099,0.6308,1.2139,1,0
5,238,0.006947,0.006774,4,144.823,2,1017,0,13,1004,16,652,336,0.6599,11541.358,15470.887,1.3405,14507.182,34.373,223.000,0,0.000,0.00000,0.0273,9,451,2221,1,0,1,1,1,0,0.3317,27,27,4,20.527,0.3190,-0.2615,-0.1241,0.000000,0.6317,22,20,0.9091,1904,135,1.1489,2.2099,0.6308,1.2413,1,0
6,238,0.006774,0.006930,5,142.406,6,1022,0,18,1004,4,708,292,0.7080,12842.011,17154.791,1.3358,15962.058,32.001,231.400,0,0.000,0.00000,0.0200,6,495,2716,1,0,1,1,1,0,0.3313,37,37,6,20.604,0.3282,-0.2517,0.1954,0.319539,0.5568,19,16,0.8421,1904,150,1.1497,2.2099,0.6308,1.2854,1,0
7,238,0.006930,0.007096,6,142.126,12,1091,0,28,1063,8,645,410,0.6114,11248.977,18711.711,1.6634,17068.495,29.814,221.950,0,0.000,0.00000,0.0275,6,455,3171,1,0,1,1,1,0,0.3412,31,31,3,20.336,0.3203,-0.2386,0.1954,0.319539,0.5694,21,18,0.8571,1904,173,1.1489,2.2084,0.6308,1.3160,2,0
8,237,0.007096,0.007063,7,141.719,16,1057,0,16,1041,16,640,385,0.6244,11196.371,20436.986,1.8253,18302.098,29.861,220.800,0,0.000,0.00000,0.0127,4,428,3599,1,0,1,1,1,0,0.3426,39,39,5,20.297,0.3204,-0.2007,0.1954,0.319539,0.5641,12,11,0.9167,1896,156,1.1495,2.2084,0.6308,1.3083,1,0
9,236,0.007063,0.007222,8,141.614,18,1130,0,17,1113,10,660,443,0.5984,11324.568,21511.501,1.8995,19155.335,27.739,223.400,0,0.000,0.00000,0.0127,3,459,4058,1,0,1,1,1,0,0.3397,6,6,0,20.267,0.3242,-0.1588,0.1954,0.319539,0.5615,18,15,0.8333,1888,174,1.1491,2.2084,0.6308,1.2950,1,0
10,236,0.007222,0.007151,9,143.605,20,1103,0,14,1089,10,631,448,0.5848,10550.761,22740.131,2.1553,20164.467,28.187,219.050,0,0.000,0.00000,0.0232,8,398,4456,1,0,1,1,1,0,0.3546,35,35,0,20.233,0.3220,-0.1521,0.1954,0.319539,0.5722,31,28,0.9032,1888,174,1.1484,2.2084,0.6308,1.2902,1,0
11,236,0.007151,0.006924,10,144.089,23,1147,0,42,1105,14,662,429,0.6068,11498.104,23546.766,2.0479,20745.123,30.466,223.700,0,0.000,0.00000,0.0192,6,449,4905,1,0,1,1,1,0,0.3406,6,6,0,20.158,0.3196,-0.1614,0.1954,0.319539,0.5705,24,20,0.8333,1888,209,1.1479,2.2084,0.6308,1.2725,1,0
12,236,0.006924,0.007320,11,145.060,26,1062,0,11,1051,6,622,423,0.5952,9923.493,23892.804,2.4077,20877.711,26.216,217.700,0,0.000,0.00000,0.0211,5,385,5290,1,1,1,1,1,1,0.3695,13,13,0,19.972,0.3168,-0.1580,0.1954,0.319539,0.5785,24,22,0.9167,1888,178,1.1476,2.2084,0.6308,1.2054,1,0
13,236,0.007320,0.007020,12,145.481,28,1095,0,22,1073,11,637,425,0.5998,10608.033,25036.642,2.3602,21798.739,29.076,219.950,0,0.000,0.00000,0.0207,7,376,5666,1,1,1,1,1,1,0.3709,11,11,1,19.907,0.3185,-0.1498,0.1954,0.319539,0.5715,15,11,0.7333,1888,177,1.1479,2.2084,0.6308,1.2017,1,0
