epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,240,0.010000,0.007492,0,131.770,0,1013,83,10,920,10,589,321,0.6473,11021.988,5037.337,0.4570,4795.634,27.353,214.350,0,0.000,0.00000,0.0198,5,425,425,1,0,0,1,1,0,0.2993,17,17,2,20.351,0.3016,-0.2631,-0.1241,0.000000,0.5960,20,18,0.9000,1920,131,1.1498,2.2099,0.6308,1.1476,0,0
2,240,0.007492,0.006941,1,138.994,0,994,51,3,940,10,620,310,0.6667,11526.610,7986.007,0.6928,7519.257,33.400,219.000,0,0.000,0.00000,0.0140,6,434,859,1,0,0,1,1,0,0.3092,25,25,0,20.350,0.3043,-0.2750,-0.1241,0.000000,0.6120,23,19,0.8261,1920,120,1.1498,2.2099,0.6308,1.1427,1,0
3,280,0.006941,0.007476,2,151.061,0,995,0,6,989,14,625,350,0.6410,11328.517,11538.104,1.0185,10954.978,27.037,235.750,1,0.000,0.00000,0.0195,5,424,1283,1,0,0,1,1,0,0.3178,44,44,7,18.639,0.3793,-0.1338,-0.1241,0.000000,0.6161,37,31,0.8378,2240,137,1.1498,2.2099,0.6308,1.1768,1,0
4,319,0.007476,0.008671,3,158.918,0,1050,0,2,1048,11,653,384,0.6297,11143.847,15118.491,1.3567,14339.591,13.384,255.550,1,0.000,0.00000,0.0174,4,448,1731,1,0,1,1,1,0,0.3415,17,17,3,17.338,0.4361,-0.0948,-0.1241,0.000000,0.6124,22,20,0.9091,2552,143,1.1498,2.2099,0.6308,1.2326,0,0
5,358,0.008671,0.009906,4,163.061,1,1024,0,2,1022,16,642,364,0.6382,10744.994,19101.460,1.7777,18066.642,0.000,269.500,0,0.000,0.00000,0.0268,9,419,2150,1,0,1,1,1,0,0.3464,33,33,4,16.195,0.4831,-0.0326,-0.1241,0.000000,0.6183,22,20,0.9091,2864,142,1.1498,2.1982,0.6308,1.2626,0,0
6,358,0.009906,0.009857,5,160.390,1,1014,0,3,1011,4,665,342,0.6604,11419.834,23260.984,2.0369,21952.959,0.257,272.950,0,0.000,0.00000,0.0199,6,441,2591,1,0,1,1,1,0,0.3577,11,11,0,16.248,0.4896,-0.0030,0.1899,0.313999,0.5536,19,16,0.8421,2864,142,1.1498,2.1982,0.6308,1.2981,0,0
7,358,0.009857,0.009859,6,162.686,1,1089,0,24,1065,8,627,430,0.5932,10606.118,26177.693,2.4682,24456.475,0.000,267.250,0,0.000,0.00000,0.0274,6,409,3000,1,0,1,1,1,0,0.3552,20,20,2,16.329,0.5000,0.0211,0.1899,0.313999,0.5693,21,18,0.8571,2864,171,1.1498,2.1982,0.6308,1.3645,0,0
8,357,0.009859,0.009901,7,162.222,2,1083,0,9,1074,17,632,425,0.5979,10643.636,28676.546,2.6942,26206.287,0.000,267.600,0,0.000,0.00000,0.0132,5,408,3408,1,0,1,1,1,0,0.3649,35,35,5,16.290,0.4981,0.0714,0.1899,0.313999,0.5588,13,12,0.9231,2856,182,1.1501,2.1982,0.6308,1.3514,0,0
9,356,0.009901,0.010024,8,160.736,4,1140,0,13,1127,10,653,464,0.5846,10935.326,31064.528,2.8408,28325.586,0.000,270.350,0,0.000,0.00000,0.0125,3,445,3853,1,0,1,1,1,0,0.3567,11,11,0,16.199,0.4941,0.0968,0.1899,0.313999,0.5589,19,16,0.8421,2848,184,1.1501,2.1982,0.6308,1.2936,0,0
10,356,0.010024,0.010422,9,162.208,6,1098,0,2,1096,10,612,474,0.5635,9786.681,32764.567,3.3479,29765.632,0.000,264.200,0,0.000,0.00000,0.0230,8,379,4232,1,0,1,1,1,0,0.3649,24,24,0,16.256,0.4928,0.1283,0.1899,0.313999,0.5754,31,28,0.9032,2848,169,1.1501,2.1982,0.6308,1.3112,0,0
11,356,0.010422,0.009659,10,163.191,6,1132,0,4,1128,14,662,452,0.5943,11233.548,34682.784,3.0874,31403.902,8.247,271.700,0,0.000,0.00000,0.0197,6,408,4640,1,0,1,1,1,0,0.3454,33,33,4,16.256,0.4921,0.1363,0.1899,0.313999,0.5581,25,21,0.8400,2848,194,1.1501,2.1982,0.6308,1.3132,0,0
12,356,0.009659,0.010142,11,162.895,9,1052,0,3,1049,6,620,423,0.5944,10107.419,36595.785,3.6207,33056.692,3.058,265.400,0,0.000,0.00000,0.0211,5,396,5036,1,1,1,1,1,1,0.3835,40,40,3,16.205,0.4926,0.1361,0.1899,0.313999,0.5664,23,21,0.9130,2848,168,1.1492,2.1982,0.6308,1.2928,0,0
