epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,246,0.010000,0.007703,0,131.770,0,1013,83,4,926,10,587,329,0.6408,10993.279,5389.821,0.4903,5148.414,24.957,216.450,0,0.000,0.00000,0.0197,5,406,406,1,0,0,1,1,0,0.3001,16,16,2,20.351,0.3016,-0.2971,-0.1241,0.000000,0.5912,20,18,0.9000,1968,131,1.1498,2.2099,0.6308,1.1476,0,0
2,246,0.007703,0.007073,1,139.088,0,994,42,6,946,10,622,314,0.6645,11679.960,8495.835,0.7274,8025.678,32.007,221.700,0,0.000,0.00000,0.0139,6,424,830,1,0,0,1,1,0,0.3111,25,25,0,20.350,0.3043,-0.3012,-0.1241,0.000000,0.6065,23,19,0.8261,1968,120,1.1498,2.2099,0.6308,1.1427,1,0
3,246,0.007073,0.007041,2,143.475,1,1007,0,10,997,14,642,341,0.6531,11535.717,11136.821,0.9654,10571.210,32.042,224.700,1,0.000,0.00000,0.0193,5,443,1273,1,0,0,1,1,0,0.3120,21,21,3,20.339,0.3092,-0.2995,-0.1241,0.000000,0.6183,38,31,0.8158,1968,149,1.1503,2.2099,0.6308,1.1563,1,0
4,245,0.007041,0.007114,3,145.331,2,1048,0,16,1032,11,662,359,0.6484,11522.770,13184.683,1.1442,12388.432,30.874,227.300,0,0.000,0.00000,0.0176,4,450,1723,1,0,1,1,1,0,0.3156,13,13,2,20.452,0.3115,-0.3040,-0.1241,0.000000,0.6235,21,19,0.9048,1960,141,1.1505,2.2099,0.6308,1.2004,1,0
5,244,0.007114,0.007281,4,144.336,3,1289,240,25,1024,16,673,335,0.6677,11566.919,15751.164,1.3617,14728.637,28.600,228.550,0,0.000,0.00000,0.0268,9,472,2195,1,0,1,1,1,0,0.3241,46,46,5,20.447,0.3181,-0.2798,-0.1241,0.000000,0.6307,22,20,0.9091,1952,407,1.1502,2.2099,0.6308,1.2089,1,0
6,244,0.007281,0.007350,5,142.775,4,1269,240,19,1010,4,704,302,0.6998,12303.023,17826.957,1.4490,16572.452,27.378,233.200,0,0.000,0.00000,0.0199,6,479,2674,1,0,1,1,1,0,0.3304,31,31,3,20.504,0.3266,-0.2726,0.2071,0.331251,0.5591,19,16,0.8421,1952,397,1.1503,2.2099,0.6308,1.2319,1,0
7,244,0.007350,0.007311,6,145.292,6,1357,240,18,1099,8,669,422,0.6132,11306.522,19378.898,1.7140,17880.708,27.485,227.950,0,0.000,0.00000,0.0275,6,444,3118,1,0,1,1,1,0,0.3270,21,21,3,20.458,0.3319,-0.2395,0.2071,0.331251,0.5649,21,18,0.8571,1952,439,1.1503,2.2099,0.6308,1.2406,1,0
8,243,0.007311,0.006704,7,146.918,6,1290,240,13,1037,16,630,391,0.6170,11154.479,20603.543,1.8471,18783.909,33.941,221.700,0,0.000,0.00000,0.0127,4,412,3530,1,0,1,1,1,0,0.3301,17,17,3,20.493,0.3268,-0.2199,0.2071,0.331251,0.5577,12,11,0.9167,1944,389,1.1503,2.2099,0.6308,1.2481,1,0
9,242,0.006704,0.006930,8,147.150,8,1380,240,30,1110,10,658,442,0.5982,11305.200,21770.348,1.9257,19728.097,31.058,225.500,0,0.000,0.00000,0.0127,3,428,3958,1,0,1,1,1,0,0.3364,6,6,0,20.521,0.3261,-0.1830,0.2071,0.331251,0.5595,18,15,0.8333,1936,424,1.1515,2.2099,0.6308,1.2573,1,0
10,242,0.006930,0.006697,9,148.882,8,1354,240,29,1085,10,616,459,0.5730,10499.759,23174.913,2.2072,20911.327,33.193,219.200,0,0.000,0.00000,0.0233,8,421,4379,1,0,1,1,1,0,0.3459,21,21,0,20.509,0.3271,-0.1555,0.2071,0.331251,0.5632,30,27,0.9000,1936,425,1.1515,2.2099,0.6308,1.2550,1,0
11,242,0.006697,0.006906,10,148.948,11,1369,0,255,1114,14,658,442,0.5982,11084.942,23964.542,2.1619,21478.109,30.540,225.500,0,0.000,0.00000,0.0200,6,445,4824,1,0,1,1,1,0,0.3284,18,18,2,20.437,0.3281,-0.1614,0.2071,0.331251,0.5611,25,21,0.8400,1936,431,1.1520,2.1982,0.6308,1.2524,1,0
12,242,0.006906,0.006879,11,149.343,15,1290,0,252,1038,5,631,402,0.6108,10481.702,24986.579,2.3838,22278.735,30.501,221.450,0,0.000,0.00000,0.0213,5,420,5244,1,1,1,1,1,1,0.3394,3,3,0,20.275,0.3211,-0.1385,0.2071,0.331251,0.5791,23,21,0.9130,1936,406,1.1520,2.1813,0.6308,1.2633,1,0
13,242,0.006879,0.007349,12,147.189,19,1358,0,255,1103,11,666,426,0.6099,10818.876,26040.918,2.4070,23111.795,25.080,226.700,0,0.000,0.00000,0.0220,8,397,5641,1,1,1,1,1,1,0.3407,29,29,3,20.145,0.3070,-0.1347,0.2071,0.331251,0.5708,17,13,0.7647,1936,440,1.1527,2.1673,0.6209,1.2556,1,0
