epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,240,0.010000,0.008100,1,130.083,0,973,81,5,887,8,566,313,0.6439,9976.961,4827.472,0.4839,4597.900,18.672,210.900,0,0.000,0.00000,0.0182,5,400,400,1,0,0,1,1,0,0.2922,9,9,0,20.091,0.3212,-0.2750,0.0171,0.000000,0.5842,11,10,0.9091,1920,112,1.1484,2.1114,0.6031,1.1331,0,0
2,240,0.008100,0.007368,2,136.473,0,1009,30,1,978,5,617,356,0.6341,11138.946,8248.602,0.7405,7792.635,26.517,218.550,0,0.000,0.00000,0.0195,7,444,844,1,0,0,1,1,0,0.2928,19,19,0,20.101,0.3220,-0.2589,0.0171,0.000000,0.5918,19,18,0.9474,1920,130,1.1484,2.1114,0.6031,1.1381,0,0
3,240,0.007368,0.006698,3,142.465,0,998,0,12,986,8,596,382,0.6094,10889.778,10990.254,1.0092,10421.480,33.530,215.400,1,0.000,0.00000,0.0225,6,415,1259,1,0,1,1,1,0,0.2911,28,28,2,20.113,0.3230,-0.2667,0.0171,0.000000,0.5930,14,14,1.0000,1920,129,1.1484,2.1114,0.6031,1.1366,0,0
4,239,0.006698,0.006610,4,144.960,1,1043,0,17,1026,12,623,391,0.6144,11208.370,12958.819,1.1562,12545.351,34.197,219.050,2,0.000,0.00000,0.0138,5,440,1699,1,0,1,1,1,0,0.3089,37,37,6,20.056,0.3280,-0.2371,0.0171,0.000000,0.6039,27,25,0.9259,1912,132,1.1484,2.1114,0.6031,1.1096,0,0
5,237,0.006610,0.006867,5,144.582,2,1043,0,13,1030,13,655,362,0.6441,11427.069,15045.024,1.3166,14411.763,30.940,223.050,0,0.000,0.00000,0.0246,9,457,2156,1,0,1,1,1,0,0.3077,29,29,3,19.916,0.3319,-0.2599,0.0171,0.000000,0.6100,21,21,1.0000,1896,135,1.1487,2.1114,0.6031,1.0586,0,0
6,237,0.006867,0.007307,6,140.969,4,1064,0,23,1041,11,671,359,0.6515,11562.443,16701.924,1.4445,15848.628,25.525,225.450,0,0.000,0.00000,0.0165,4,483,2639,1,0,1,1,1,0,0.3004,20,20,1,19.601,0.2946,-0.2734,0.3410,0.323853,0.5367,19,17,0.8947,1896,166,1.1487,2.0304,0.6031,1.0443,0,0
7,237,0.007307,0.006786,7,144.449,6,1040,0,14,1026,17,583,426,0.5778,9991.829,18367.501,1.8383,17297.047,30.433,212.250,0,0.000,0.00000,0.0198,8,393,3032,1,0,1,1,1,0,0.3093,11,11,1,19.522,0.2969,-0.2654,0.3410,0.323853,0.5540,16,14,0.8750,1896,148,1.1496,2.0304,0.6031,1.0392,0,0
8,237,0.006786,0.006700,8,144.684,10,1013,0,13,1000,15,574,411,0.5827,9883.004,19257.848,1.9486,17975.951,30.976,210.900,0,0.000,0.00000,0.0152,5,404,3436,1,0,1,1,1,0,0.3106,18,18,2,19.394,0.2993,-0.2595,0.3410,0.323853,0.5507,24,21,0.8750,1896,158,1.1499,2.0013,0.6031,1.0277,0,0
9,237,0.006700,0.007200,9,144.871,12,1072,0,20,1052,10,614,428,0.5893,10004.327,20369.946,2.0361,18876.460,25.665,216.900,0,0.000,0.00000,0.0250,7,428,3864,1,0,1,1,1,0,0.3144,39,39,2,19.428,0.3024,-0.2364,0.3410,0.323853,0.5585,18,18,1.0000,1896,184,1.1503,2.0013,0.6031,1.0441,0,0
10,237,0.007200,0.007372,10,144.971,13,1034,0,9,1025,8,610,407,0.5998,9675.277,21472.910,2.2194,19933.423,23.680,216.300,1,0.000,0.00000,0.0246,5,392,4256,1,0,1,1,1,0,0.3200,23,23,1,19.501,0.3051,-0.2159,0.3410,0.323853,0.5640,12,11,0.9167,1896,163,1.1503,2.0013,0.6003,1.0724,0,0
