epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,285,0.010000,0.006893,0,158.140,0,983,13,8,962,11,638,313,0.6709,11831.836,6331.378,0.5351,6055.240,36.438,239.700,0,0.000,0.00000,0.0200,6,425,425,1,0,0,1,1,0,0.3010,10,8,1,20.213,0.2766,-0.2616,-0.1241,0.000000,0.6414,21,19,0.9048,2280,101,1.1498,2.2099,0.6308,1.1476,0,0
2,285,0.006893,0.006905,1,158.747,0,1152,172,1,979,10,652,317,0.6729,12027.713,9841.664,0.8182,9324.200,35.964,241.800,0,0.000,0.00000,0.0165,9,462,887,1,0,0,1,1,0,0.2916,11,6,0,20.212,0.2792,-0.3250,-0.1241,0.000000,0.6502,23,19,0.8261,2280,278,1.1498,2.2099,0.6308,1.1427,1,0
3,285,0.006905,0.007039,2,157.276,0,1138,148,5,985,13,678,294,0.6975,12561.343,12869.643,1.0245,12259.606,33.924,245.700,1,0.000,0.00000,0.0195,5,469,1356,1,0,0,1,1,0,0.3098,43,35,5,20.201,0.2829,-0.3118,-0.1241,0.000000,0.6468,37,31,0.8378,2280,280,1.1498,2.2099,0.6308,1.1482,1,0
4,284,0.007039,0.007759,3,153.741,1,1214,140,11,1063,11,710,342,0.6749,12418.517,15923.053,1.2822,15139.722,24.623,250.100,1,0.000,0.00000,0.0171,4,480,1836,1,0,1,1,1,0,0.2987,47,35,6,20.318,0.2862,-0.3174,-0.1241,0.000000,0.6494,23,21,0.9130,2272,307,1.1501,2.2099,0.6308,1.1963,1,0
5,283,0.007759,0.007837,4,148.844,2,1167,120,17,1030,17,715,298,0.7058,12965.611,18210.923,1.4046,17178.514,23.251,250.450,0,0.000,0.00000,0.0267,9,480,2316,1,0,1,1,1,0,0.3147,49,37,4,20.362,0.2921,-0.3295,-0.1241,0.000000,0.6580,22,20,0.9091,2264,285,1.1501,2.2099,0.6308,1.2263,1,0
6,283,0.007837,0.007898,5,143.149,4,1317,0,27,1290,9,945,336,0.7377,17953.061,19548.848,1.0889,18233.078,21.662,284.950,0,0.000,0.00000,0.0211,9,627,2943,1,0,1,1,1,0,0.3096,38,21,4,20.394,0.2994,-0.2387,0.1975,0.321675,0.5655,25,22,0.8800,2264,445,1.1513,2.2099,0.6308,1.2515,1,0
7,283,0.007898,0.007889,6,152.204,4,1045,0,9,1036,8,646,382,0.6284,11141.751,19085.476,1.7130,19526.713,21.445,240.100,1,0.000,0.00000,0.0263,5,409,3352,1,0,1,1,1,0,0.3146,13,3,0,20.646,0.3372,-0.2423,0.1975,0.321675,0.5910,20,17,0.8500,2264,127,1.1513,2.2099,0.6308,1.2763,1,0
8,237,0.007889,0.008527,7,127.406,6,1054,0,32,1022,16,647,359,0.6431,11075.345,20285.039,1.8315,20205.781,14.052,221.850,0,0.000,0.00000,0.0129,4,394,3746,1,0,1,1,1,0,0.3523,22,22,3,20.608,0.3286,-0.2272,0.1975,0.321675,0.5771,12,11,0.9167,1896,153,1.1510,2.2099,0.6308,1.2488,2,0
9,236,0.008527,0.008136,8,130.177,8,1092,0,35,1057,9,628,420,0.5992,10868.049,20921.588,1.9251,20619.796,17.986,218.600,0,0.000,0.00000,0.0115,3,366,4112,1,0,1,1,1,0,0.3566,43,43,1,20.494,0.3237,-0.2103,0.1975,0.321675,0.5755,18,15,0.8333,1888,136,1.1509,2.2099,0.6308,1.1965,2,0
10,236,0.008136,0.008245,9,131.617,12,1084,0,19,1065,10,616,439,0.5839,10331.352,21885.267,2.1183,21368.112,16.549,216.800,0,0.000,0.00000,0.0237,8,344,4456,1,0,1,1,1,0,0.3615,23,23,0,20.262,0.3192,-0.1865,0.1975,0.321675,0.5797,30,27,0.9000,1888,155,1.1515,2.2390,0.6308,1.1346,1,0
