epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,285,0.010000,0.006772,0,158.140,0,976,9,18,949,11,625,313,0.6663,11756.217,6117.555,0.5204,5842.173,37.632,237.750,0,0.000,0.00000,0.0203,6,425,422,1,0,0,1,1,0,0.3025,13,11,1,20.213,0.2766,-0.2569,-0.1241,0.000000,0.6392,21,19,0.9048,2280,94,1.1498,2.2099,0.6308,1.1476,0,0
2,285,0.006772,0.006696,1,158.380,0,961,0,22,939,10,629,300,0.6771,11943.438,10034.801,0.8402,9520.473,38.228,238.350,0,0.000,0.00000,0.0140,6,443,868,1,0,0,1,1,0,0.2959,31,22,0,20.212,0.2792,-0.2554,-0.1241,0.000000,0.6532,23,19,0.8261,2280,87,1.1498,2.2099,0.6308,1.1427,1,0
3,285,0.006696,0.007062,2,156.238,0,961,0,24,937,13,623,301,0.6742,11499.591,12561.891,1.0924,11922.289,33.709,237.450,1,0.000,0.00000,0.0195,5,430,1298,1,0,0,1,1,0,0.3196,13,9,0,20.187,0.2830,-0.2472,-0.1241,0.000000,0.6537,34,29,0.8529,2280,103,1.1498,2.2099,0.6308,1.1390,1,0
4,284,0.007062,0.007778,3,151.814,1,1002,0,28,974,11,654,309,0.6791,11556.171,14796.521,1.2804,13975.399,25.108,241.700,1,0.000,0.00000,0.0187,4,447,1745,1,0,1,1,1,0,0.3219,20,16,4,20.271,0.2871,-0.2700,-0.1241,0.000000,0.6583,21,19,0.9048,2272,95,1.1501,2.2099,0.6308,1.1657,1,0
5,283,0.007778,0.008255,4,145.422,4,987,0,20,967,15,657,295,0.6901,11668.644,16879.336,1.4466,15822.353,19.219,241.750,0,0.000,0.00000,0.0273,9,472,2217,1,0,1,1,1,0,0.3450,25,20,3,20.250,0.2869,-0.2733,-0.1241,0.000000,0.6624,22,20,0.9091,2264,105,1.1500,2.2342,0.6308,1.2102,1,0
6,283,0.008255,0.008529,5,138.271,11,1211,0,38,1173,7,852,314,0.7307,15561.803,17638.663,1.1335,16315.367,14.532,271.000,0,0.000,0.00000,0.0232,9,586,2803,1,0,1,1,1,0,0.3199,45,41,5,20.165,0.2871,-0.2552,0.1891,0.313261,0.5703,21,18,0.8571,2264,339,1.1500,2.2457,0.6308,1.2540,1,0
7,283,0.008529,0.008880,6,143.690,17,1064,0,25,1039,8,658,373,0.6382,11059.159,16187.655,1.4637,17122.071,10.315,241.900,1,0.000,0.00000,0.0262,5,446,3249,1,0,1,1,1,0,0.3198,20,20,2,20.350,0.3282,-0.2718,0.1891,0.313261,0.5808,20,17,0.8500,2264,146,1.1508,2.2457,0.6308,1.2711,1,0
8,237,0.008880,0.008996,7,119.700,16,1027,0,19,1008,16,616,376,0.6210,10837.994,17035.987,1.5719,17680.729,8.747,217.200,0,0.000,0.00000,0.0131,4,401,3650,1,0,1,1,1,0,0.3422,2,2,0,20.250,0.3238,-0.2827,0.1891,0.313261,0.5837,12,11,0.9167,1896,126,1.1503,2.2745,0.6308,1.2175,1,0
9,236,0.008996,0.008865,8,121.343,21,1130,0,36,1094,9,673,412,0.6203,11732.679,17598.407,1.4999,18016.589,9.957,225.350,0,0.000,0.00000,0.0120,3,448,4098,1,0,1,1,1,0,0.3483,35,35,0,20.027,0.3132,-0.2807,0.1891,0.313261,0.5842,18,15,0.8333,1888,174,1.1509,2.2629,0.6308,1.1944,1,0
10,236,0.008865,0.008933,9,125.107,25,1121,0,38,1083,10,624,449,0.5815,10398.835,17846.049,1.7162,18047.254,8.934,218.000,0,0.000,0.00000,0.0233,8,401,4499,1,0,1,1,1,0,0.3549,32,32,0,19.873,0.3093,-0.1842,0.1891,0.313261,0.5727,30,27,0.9000,1888,192,1.1514,2.2436,0.6308,1.1849,1,0
