epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,246,0.010000,0.007580,0,131.770,0,1013,83,4,926,28,573,325,0.6381,10894.867,5019.774,0.4607,4779.346,26.078,214.350,0,0.000,0.00000,0.0200,5,410,410,1,0,0,1,1,0,0.3099,22,22,3,20.351,0.3016,-0.0934,-0.1241,0.000000,0.5977,20,18,0.9000,1968,131,1.1498,2.2099,0.6308,1.1476,0,0
2,246,0.007580,0.007233,1,137.980,0,1002,63,7,932,32,604,296,0.6711,11201.000,8101.097,0.7232,7638.099,29.648,219.000,0,0.000,0.00000,0.0144,6,408,818,1,0,0,1,1,0,0.3193,32,32,0,20.350,0.3043,-0.1731,-0.1241,0.000000,0.6197,23,19,0.8261,1968,128,1.1498,2.2099,0.6308,1.1427,1,0
3,246,0.007233,0.006974,2,141.141,0,986,0,15,971,42,584,345,0.6286,10734.512,10627.528,0.9900,10117.288,32.138,216.000,1,0.000,0.00000,0.0194,5,416,1234,1,0,0,1,1,0,0.3333,14,14,2,20.419,0.3064,-0.1881,-0.1241,0.000000,0.6199,34,29,0.8529,1968,128,1.1498,2.2099,0.6308,1.1914,1,0
4,245,0.006974,0.007044,3,141.631,0,1039,0,29,1010,34,621,355,0.6363,11289.336,12884.886,1.1413,12136.029,31.049,221.150,0,0.000,0.00000,0.0184,4,421,1655,1,0,1,1,1,0,0.3326,9,9,2,20.554,0.3100,-0.2073,-0.1241,0.000000,0.6252,21,19,0.9048,1960,132,1.1498,2.2099,0.6308,1.2434,1,0
5,244,0.007044,0.007063,4,139.942,3,1205,180,30,995,31,640,324,0.6639,11845.219,15050.185,1.2706,14078.275,30.502,223.600,0,0.000,0.00000,0.0270,9,432,2087,1,0,1,1,1,0,0.3257,26,26,3,20.628,0.3193,-0.1877,-0.1241,0.000000,0.6237,22,20,0.9091,1952,323,1.1509,2.2099,0.6308,1.2812,1,0
6,244,0.007063,0.007526,5,137.947,5,1188,180,23,985,28,662,295,0.6917,11818.699,16516.502,1.3975,15323.518,24.676,226.900,0,0.000,0.00000,0.0178,5,454,2541,1,0,1,1,1,0,0.3379,31,31,3,20.701,0.3279,-0.1843,0.1935,0.317612,0.5551,18,15,0.8333,1952,316,1.1508,2.2099,0.6308,1.3112,2,0
7,244,0.007526,0.007395,6,140.343,8,1242,180,20,1042,34,614,394,0.6091,10731.666,17761.059,1.6550,16165.294,25.787,219.700,0,0.000,0.00000,0.0258,5,422,2963,1,0,1,1,1,0,0.3560,36,36,3,20.826,0.3416,-0.1685,0.1935,0.317612,0.5595,19,16,0.8421,1952,324,1.1507,2.2099,0.6308,1.3750,2,0
8,243,0.007395,0.007280,7,141.756,11,1242,180,17,1045,37,611,397,0.6062,10590.177,19787.562,1.8685,17834.827,26.702,218.850,0,0.000,0.00000,0.0129,4,383,3346,1,0,1,1,1,0,0.3476,10,10,2,20.852,0.3395,-0.1301,0.1935,0.317612,0.5641,12,11,0.9167,1944,341,1.1511,2.2099,0.6308,1.3841,2,0
9,242,0.007280,0.007538,8,141.782,16,1303,180,15,1108,32,659,417,0.6125,11126.036,21168.584,1.9026,18993.401,23.500,225.650,0,0.000,0.00000,0.0121,3,457,3803,1,0,1,1,1,0,0.3645,16,16,0,20.789,0.3408,-0.1104,0.1935,0.317612,0.5569,18,15,0.8333,1936,347,1.1505,2.2099,0.6308,1.4188,2,0
10,242,0.007538,0.007280,9,143.704,19,1298,180,25,1093,29,619,445,0.5818,10431.842,22015.580,2.1104,19618.361,25.886,219.650,0,0.000,0.00000,0.0235,8,372,4175,1,0,1,1,1,0,0.3618,8,8,0,20.822,0.3463,-0.0978,0.1935,0.317612,0.5698,30,27,0.9000,1936,369,1.1499,2.2302,0.6308,1.4437,2,0
11,242,0.007280,0.007074,10,144.598,21,1328,180,49,1099,39,651,409,0.6142,11287.318,23045.865,2.0417,20422.192,27.890,224.450,0,0.000,0.00000,0.0189,6,417,4592,1,0,1,1,1,0,0.3408,0,0,0,20.699,0.3414,-0.0905,0.1935,0.317612,0.5648,24,20,0.8333,1936,390,1.1499,2.2165,0.6308,1.4757,2,0
12,242,0.007074,0.007217,11,143.092,28,1235,91,105,1039,53,587,399,0.5953,9942.674,23650.494,2.3787,20813.677,26.184,214.850,0,0.000,0.00000,0.0213,4,374,4966,1,0,1,1,1,0,0.3640,14,14,0,20.419,0.3322,-0.0551,0.1935,0.317612,0.5806,22,20,0.9091,1936,351,1.1496,2.1855,0.6308,1.4237,2,0
13,242,0.007217,0.007160,12,143.103,28,1315,120,90,1105,44,624,437,0.5881,10796.089,24195.189,2.2411,21137.657,26.499,220.400,0,0.000,0.00000,0.0207,7,418,5384,1,1,1,1,1,1,0.3472,15,15,2,20.418,0.3361,-0.0445,0.1935,0.317612,0.5586,15,11,0.7333,1936,397,1.1496,2.1855,0.6308,1.4309,1,0
14,242,0.007160,0.007227,13,144.422,28,1305,120,95,1090,48,619,423,0.5940,10409.465,24800.387,2.3825,21524.219,25.485,219.650,0,0.000,0.00000,0.0307,7,397,5781,1,1,1,1,1,1,0.3677,15,15,1,20.347,0.3318,-0.0544,0.1935,0.317612,0.5709,21,20,0.9524,1936,393,1.1496,2.1855,0.6308,1.4061,1,0
