epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,248,0.010000,0.007749,0,131.770,0,1009,84,8,917,10,588,319,0.6483,11050.672,5689.426,0.5148,5447.438,24.588,217.400,0,0.000,0.00000,0.0198,5,413,413,1,0,0,1,1,0,0.2966,19,19,2,20.351,0.3016,-0.2283,-0.1241,0.000000,0.5935,20,18,0.9000,1984,127,1.1498,2.2099,0.6308,1.1476,0,0
2,248,0.007749,0.007108,1,138.927,0,1007,46,17,944,10,624,310,0.6681,11799.842,8679.754,0.7356,8207.710,31.844,222.800,0,0.000,0.00000,0.0139,6,461,874,1,0,0,1,1,0,0.3072,18,18,0,20.350,0.3043,-0.2016,-0.1241,0.000000,0.6147,23,19,0.8261,1984,133,1.1498,2.2099,0.6308,1.1427,1,0
3,248,0.007108,0.006965,2,143.832,0,1002,0,7,995,14,644,337,0.6565,11767.941,11453.092,0.9732,10868.926,33.212,225.800,1,0.000,0.00000,0.0194,5,433,1307,1,0,0,1,1,0,0.2906,24,24,4,20.398,0.3078,-0.1741,-0.1241,0.000000,0.6094,38,31,0.8158,1984,144,1.1498,2.2099,0.6308,1.1797,1,0
4,247,0.006965,0.007468,3,144.549,2,1280,200,9,1071,11,692,368,0.6528,11791.069,13279.004,1.1262,12538.221,26.934,232.600,1,0.000,0.00000,0.0170,4,479,1786,1,0,1,1,1,0,0.3143,18,18,4,20.426,0.3117,-0.1613,-0.1241,0.000000,0.6167,23,21,0.9130,1976,373,1.1498,2.2174,0.6308,1.2245,1,0
5,246,0.007468,0.007176,4,145.156,2,1234,200,16,1018,16,674,328,0.6727,11753.587,15183.909,1.2919,14210.531,30.029,229.500,0,0.000,0.00000,0.0269,9,472,2258,1,0,1,1,1,0,0.3155,32,32,4,20.530,0.3185,-0.1766,-0.1241,0.000000,0.6269,22,20,0.9091,1968,352,1.1498,2.2174,0.6308,1.2708,1,0
6,246,0.007176,0.007517,5,143.016,3,1261,200,29,1032,6,738,288,0.7193,12781.525,17442.724,1.3647,16234.975,25.300,239.100,0,0.000,0.00000,0.0195,6,506,2764,1,0,1,1,1,0,0.3177,21,21,2,20.621,0.3277,-0.1677,0.1960,0.320164,0.5522,19,16,0.8421,1968,389,1.1498,2.2174,0.6308,1.3076,1,0
7,246,0.007517,0.006930,6,146.438,6,1259,175,39,1045,8,625,412,0.6027,10925.357,18950.229,1.7345,17498.691,31.388,222.150,0,0.000,0.00000,0.0260,5,403,3167,1,0,1,1,1,0,0.3264,19,19,2,20.777,0.3397,-0.1299,0.1960,0.320164,0.5649,20,17,0.8500,1968,341,1.1500,2.2174,0.6308,1.3778,2,0
8,245,0.006930,0.007230,7,146.439,7,1288,200,28,1060,16,662,382,0.6341,11183.380,20828.567,1.8625,18966.256,27.693,227.300,0,0.000,0.00000,0.0125,4,456,3623,1,0,1,1,1,0,0.3131,23,23,3,20.725,0.3370,-0.1120,0.1960,0.320164,0.5575,12,11,0.9167,1960,387,1.1502,2.2174,0.6308,1.3567,2,0
9,244,0.007230,0.007036,8,145.903,10,1335,175,49,1111,10,653,448,0.5931,11320.691,21703.053,1.9171,19613.321,29.564,225.550,0,0.000,0.00000,0.0127,3,460,4083,1,0,1,1,1,0,0.3212,2,2,0,20.626,0.3376,-0.1113,0.1960,0.320164,0.5512,18,15,0.8333,1952,379,1.1497,2.2054,0.6308,1.3541,2,0
10,244,0.007036,0.007375,9,145.441,12,1287,125,83,1079,10,618,451,0.5781,10150.431,22676.280,2.2340,20370.012,25.800,220.300,0,0.000,0.00000,0.0234,8,378,4461,1,0,1,1,1,0,0.3142,10,10,0,20.443,0.3303,-0.0588,0.1960,0.320164,0.5644,30,27,0.9000,1952,358,1.1497,2.1893,0.6308,1.3442,2,0
