epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,270,0.010000,0.007142,0,155.380,0,986,6,4,976,11,671,294,0.6953,11659.669,6307.596,0.5410,6035.947,32.999,238.650,0,0.000,0.00000,0.0197,6,459,459,1,0,0,1,1,0,0.3247,40,40,5,19.790,0.3004,-0.2517,-0.1241,0.000000,0.6626,22,20,0.9091,2160,104,1.1498,2.2099,0.6308,1.1476,0,0
2,270,0.007142,0.007231,1,155.233,0,985,0,0,985,10,695,280,0.7128,12033.108,10834.361,0.9004,10321.872,31.589,242.250,0,0.000,0.00000,0.0164,9,469,928,1,0,0,1,1,0,0.3282,45,45,4,19.791,0.3030,-0.2930,-0.1241,0.000000,0.6762,23,19,0.8261,2160,111,1.1498,2.2099,0.6308,1.1427,1,0
3,270,0.007231,0.007427,2,152.641,0,948,0,3,945,13,659,273,0.7071,11338.659,13660.842,1.2048,13051.747,29.037,236.850,1,0.000,0.00000,0.0193,5,439,1367,1,0,0,1,1,0,0.3197,21,21,3,19.776,0.3071,-0.2600,-0.1241,0.000000,0.6868,35,30,0.8571,2160,90,1.1498,2.2099,0.6308,1.1505,1,0
4,269,0.007427,0.008183,3,146.376,2,991,0,4,987,11,681,295,0.6977,11410.507,16215.519,1.4211,15436.299,20.070,239.750,1,0.000,0.00000,0.0184,4,459,1826,1,0,1,1,1,0,0.3278,40,40,6,19.790,0.3132,-0.2786,-0.1241,0.000000,0.6858,21,19,0.9048,2152,84,1.1497,2.2099,0.6308,1.1717,1,0
5,268,0.008183,0.008801,4,139.421,3,990,0,4,986,15,675,296,0.6952,11252.157,18568.232,1.6502,17557.850,12.782,238.450,0,0.000,0.00000,0.0268,9,424,2250,1,0,1,1,1,0,0.3333,28,28,4,19.812,0.3214,-0.2731,-0.1241,0.000000,0.6874,22,20,0.9091,2144,108,1.1499,2.2099,0.6308,1.1817,1,0
6,268,0.008801,0.009212,5,131.722,7,970,0,1,969,4,708,257,0.7337,12122.610,20557.189,1.6958,19308.747,7.442,243.400,0,0.000,0.00000,0.0176,5,476,2726,1,0,1,1,1,0,0.3335,45,45,6,19.881,0.3320,-0.2786,0.1950,0.319172,0.6148,18,15,0.8333,2144,98,1.1501,2.2099,0.6308,1.2151,1,0
7,268,0.009212,0.009710,6,131.594,11,1045,0,9,1036,8,669,359,0.6508,10912.105,21857.702,2.0031,20473.751,1.677,237.550,1,0.000,0.00000,0.0263,5,460,3186,1,0,1,1,1,0,0.3293,0,0,0,19.946,0.3439,-0.2520,0.1950,0.319172,0.6149,20,17,0.8500,2144,127,1.1498,2.1982,0.6308,1.2884,1,0
8,267,0.009710,0.009469,7,131.580,13,1000,0,10,990,16,638,336,0.6550,10657.969,23178.320,2.1747,21373.773,3.920,232.500,0,0.000,0.00000,0.0133,4,397,3583,1,0,1,1,1,0,0.3260,20,20,3,19.912,0.3386,-0.2290,0.1950,0.319172,0.6115,12,11,0.9167,2136,99,1.1494,2.1982,0.6308,1.2775,1,0
9,266,0.009469,0.009848,8,129.675,14,1080,0,11,1069,9,696,364,0.6566,11284.177,24722.999,2.1909,22682.271,0.000,240.800,0,0.000,0.00000,0.0113,3,444,4020,1,0,1,1,1,0,0.3305,29,29,0,19.760,0.3283,-0.2156,0.1950,0.319172,0.6099,18,15,0.8333,2128,124,1.1494,2.2238,0.6308,1.2556,1,0
10,266,0.009848,0.010112,9,131.275,14,1080,0,0,1080,10,662,408,0.6187,10327.012,25858.149,2.5039,23584.771,0.000,235.700,0,0.000,0.00000,0.0234,8,432,4458,1,0,1,1,1,0,0.3316,8,8,0,19.732,0.3226,-0.2077,0.1950,0.319172,0.6210,30,27,0.9000,2128,151,1.1494,2.2238,0.6308,1.2524,1,0
11,266,0.010112,0.009348,10,131.005,17,1080,0,4,1076,14,699,363,0.6582,11793.309,26781.632,2.2709,24258.338,8.666,241.250,0,0.000,0.00000,0.0188,6,458,4917,1,0,1,1,1,0,0.3334,0,0,0,19.581,0.3087,-0.2310,0.1950,0.319172,0.6179,24,20,0.8333,2128,142,1.1494,2.1937,0.6308,1.2353,1,0
12,266,0.009348,0.009776,11,131.336,23,1017,0,0,1017,5,636,376,0.6285,10276.101,27295.790,2.6562,24545.415,3.947,231.800,0,0.000,0.00000,0.0208,4,423,5340,1,1,1,1,1,1,0.3335,27,27,3,19.367,0.3043,-0.1990,0.1950,0.319172,0.6088,23,21,0.9130,2128,133,1.1496,2.1937,0.6308,1.1857,1,0
13,266,0.009776,0.009737,12,131.093,25,1076,0,14,1062,11,663,388,0.6308,10759.199,28127.334,2.6143,25141.019,4.037,235.850,0,0.000,0.00000,0.0209,7,478,5818,1,1,1,1,1,1,0.3301,2,2,0,19.248,0.3049,-0.1233,0.1950,0.319172,0.6070,15,11,0.7333,2128,158,1.1496,2.1977,0.6308,1.1444,1,0
14,266,0.009737,0.009782,13,132.347,27,1074,0,10,1064,13,673,378,0.6403,10734.442,28823.267,2.6851,25600.426,3.213,237.350,0,0.000,0.00000,0.0304,7,452,6270,1,1,1,1,1,1,0.3336,20,20,3,19.162,0.3011,-0.1217,0.1950,0.319172,0.6181,21,20,0.9524,2128,162,1.1496,2.1977,0.6308,1.1305,1,0
15,266,0.009782,0.008867,14,133.521,28,1034,0,0,1034,8,651,375,0.6345,11337.180,29607.666,2.6116,26140.730,13.258,234.050,0,0.000,0.00000,0.0166,7,439,6709,1,1,1,1,1,1,0.3365,20,20,2,19.145,0.2992,-0.1151,0.1950,0.319172,0.6124,17,16,0.9412,2128,138,1.1499,2.1977,0.6308,1.1238,1,0
16,266,0.008867,0.009829,15,134.653,30,1035,0,1,1034,10,667,357,0.6514,10357.328,30090.838,2.9053,26576.365,2.965,236.450,1,0.000,0.00000,0.0215,7,437,7146,1,1,1,1,1,1,0.3489,16,16,2,19.108,0.3010,-0.1019,0.1950,0.319172,0.6188,14,13,0.9286,2128,138,1.1498,2.1977,0.6308,1.1248,0,0
